Activity ID,Pillar,Age Group,Difficulty Level,Activity Type,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Setup Time,Supervision Level,Materials,Additional Information,Steps,Skills,Hashtags,Kit Materials,General Instructions,Last Updated,Feedback,Updated By,Last Synced,Materials at Home,Materials to Buy for Kit
play-creativity-infant-0-1-sensory-exploration-1,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,Stimulate tactile senses through safe material exploration,1,Texture Tray Adventure - UPDATED,Texture Tray Adventure - UPDATED,Stimulate tactile senses through safe material exploration,"Provide a tray with different safe materials (e.g., silk, sponge). Baby explores textures with hands. Stimulate tactile senses through safe material exploration.",3-12 months,10-15 min,5-10 min,High,Silk fabric; Sponge; Cotton balls; Tray; Shallow container,,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Tactile exploration, Sensory awareness, Hand-eye coordination","#Tactile, #SensoryPlay, #InfantActivities",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Tray or shallow container,"Safe textured materials (silk, sponge, cotton)"
play-creativity-infant-0-1-sensory-exploration-2,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,Stimulate tactile senses through safe material exploration,2,Gel Bag Squish Play,Gel Bag Squish Play,Build tactile responsiveness and visual attention,Create a sealed ziplock bag filled with gel and glitter. Baby squishes it while lying. Build tactile responsiveness and visual attention.,4-12 months,10 min,5-10 min,High,Ziplock bag; Gel; Glitter; Tape,,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Tactile responsiveness, Visual attention, Hand control","#SensoryBag, #TummyTime, #HandControl",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Ziplock bag; Gel; Glitter; Tape
play-creativity-infant-0-1-sensory-exploration-3,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,Stimulate tactile senses through safe material exploration,3,Water Play Bowl,Water Play Bowl,Explore basic cause-effect through water,Baby splashes hands in a shallow bowl with floating toys under supervision. Explore basic cause-effect through water.,6-12 months,10 min,5-10 min,High,Shallow bowl; Water; Floating toys,,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Cause and effect, Motor skills, Water exploration","#WaterPlay, #SensoryFun, #MotorSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Shallow bowl; Water,Floating toys
play-creativity-infant-0-1-sensory-exploration-4,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,Stimulate tactile senses through safe material exploration,4,Textured Cloth Crawl,Textured Cloth Crawl,Stimulate tactile feedback and crawling practice,Arrange fabrics in a path; baby explores while crawling across textures. Stimulate tactile feedback and crawling practice.,5-12 months,10 min,5-10 min,High,Silk fabric; Cotton fabric; Velvet fabric,Soft play mat,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Tactile feedback, Crawling practice, Gross motor development","#TactileCrawl, #TextureAwareness, #GrossMotor",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Soft play area,Different textured fabrics
play-creativity-infant-0-1-sensory-exploration-5,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,Stimulate tactile senses through safe material exploration,5,Nature Touch Basket,Nature Touch Basket,Encourage natural sensory learning,"Use a basket filled with safe, natural items like pinecones, leaves, or cotton balls. Let. Encourage natural sensory learning.",6-12 months,10 min,5-10 min,High,"Soft basket; Safe nature objects (leaves, cotton balls); Clean play area",,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Natural sensory learning, Texture exploration, Nature awareness","#NaturePlay, #SensoryBasket, #EcoLearning",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Clean play area,"Soft basket; Safe nature objects (leaves, cotton balls)"
play-creativity-infant-0-1-tummy-time-play-1,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,Strengthen neck and visual tracking through reflection,1,Mirror Face Time,Mirror Face Time,Strengthen neck and visual tracking through reflection,Place baby on tummy in front of a baby-safe mirror. Encourage looking and smiling at. Strengthen neck and visual tracking through reflection.,2-6 months,5-10 min,5-10 min,High,Safe baby mirror,Soft Soft play mat; Cushions,Hold a baby-safe mirror in front of baby's face; Make different facial expressions and let them see themselves; Point to their features: 'There's your nose!' or 'Look at your eyes!'; Let them reach out and touch the mirror; Make silly faces and see if they try to copy you; Put the mirror away when they lose interest,"Neck strength, Visual tracking, Self-recognition","#TummyTime, #MirrorPlay, #NeckStrength",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Safe baby mirror; Soft play mat,None needed
play-creativity-infant-0-1-tummy-time-play-2,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,Strengthen neck and visual tracking through reflection,2,Tummy Toy Reach,Tummy Toy Reach,Improve upper body strength and hand-eye coordination,Place toys slightly out of reach during tummy time to motivate reaching and lifting. Improve upper body strength and hand-eye coordination.,3-9 months,10 min,5-10 min,High,Favorite toys,Soft Soft play mat; Cushions,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Upper body strength, Hand-eye coordination, Reaching skills","#MotorSkills, #TummyTimeChallenge",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Soft play mat,Favorite toys
play-creativity-infant-0-1-tummy-time-play-3,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,Strengthen neck and visual tracking through reflection,3,Blanket Roll Support,Blanket Roll Support,Ease baby into tummy time using supportive props,Roll a small towel or blanket under baby's chest to help them prop up more. Ease baby into tummy time using supportive props.,2-5 months,5-10 min,5-10 min,High,Soft towel; Blanket,Soft play mat; Cushions,"Roll a soft blanket into a tube shape; Place it under baby's chest during tummy time for support; This helps them lift their head and strengthens their neck muscles; Talk to them and make eye contact while they're in this position; If they get tired, let them rest and try again later; Unroll the blanket when tummy time is over","Supported tummy time, Gross motor development, Comfort with positioning","#SupportedTummyTime, #GrossMotor",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Soft towel or blanket,None needed
play-creativity-infant-0-1-tummy-time-play-4,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,Strengthen neck and visual tracking through reflection,4,Parent Chest Tummy Time,Parent Chest Tummy Time,Foster bonding and encourage head lifting,Lay baby on your chest while you recline; baby will instinctively lift head to look. Foster bonding and encourage head lifting.,0-4 months,10-15 min,5-10 min,High,Comfortable reclining surface,Soft play mat; Cushions,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Bonding, Head lifting, Parent-child connection","#Bonding, #ParentBabyPlay, #TummyTimeTogether",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Comfortable reclining surface,None needed
play-creativity-infant-0-1-tummy-time-play-5,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,Strengthen neck and visual tracking through reflection,5,Tummy Time with Music,Tummy Time with Music,Engage auditory senses and improve duration of tummy time,"Play soft music while baby is on tummy, with musical toys or sound-producing mats. Engage auditory senses and improve duration of tummy time.",3-9 months,10 min,5-10 min,High,Musical toys; Soft music player; Play mat,,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Auditory engagement, Extended tummy time, Music appreciation","#MusicAndMovement, #TummyTimeFun",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Play mat,Soft music or musical toys
