Activity ID,Pillar,Age Group,Difficulty Level,Activity Type,Category,Category Description,Topic Number,Activity Name,Objective,Explanation,Estimated Time,Setup Time,Supervision Level,Materials,Additional Information,Steps,Skills,Hashtags,Kit Materials,General Instructions,Last Updated,Feedback,Updated By,Last Synced,Materials at Home,Materials to Buy for Kit,Corrections Needed,Validation Score
play-creativity-infant-0-1-sensory-exploration-1,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,"Activities focusing on developing tactile, visual, and auditory awareness through safe, gentle exploration of different textures, sounds, and visual stimuli appropriate for 0-1 year olds.",1,Baby's First Texture Discovery,Introduce baby to different textures and develop sensory awareness,Create a safe exploration space with various textures. Baby touches and feels different materials while you describe each one. Perfect for developing sensory skills and bonding time.,10-15 minutes,5 minutes,High,Soft fabric squares; Smooth wooden blocks; Crinkly paper; Soft brush; Shallow tray,,1. Choose when baby is calm and alert; 2. Place different textures in a shallow tray; 3. Let baby explore each texture; 4. Describe what they're feeling; 5. Watch for reactions and preferences; 6. Clean up when baby shows signs of being done,"Sensory awareness, Tactile exploration, Hand-eye coordination, Language development","#SensoryPlay, #InfantActivities, #TextureExploration, #BabyDevelopment",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during texture tray adventure. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Shallow tray,1. Soft fabric squares [Product Link: TBD]; 2. Smooth wooden blocks [Product Link: TBD]; 3. Crinkly paper [Product Link: TBD]; 4. Soft brush [Product Link: TBD],,100/100 (A+)
play-creativity-infant-0-1-sensory-exploration-2,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,"Activities focusing on developing tactile, visual, and auditory awareness through safe, gentle exploration of different textures, sounds, and visual stimuli appropriate for 0-1 year olds.",2,Squishy Sensory Fun,Develop tactile responsiveness and visual attention through safe gel play,Create a colorful gel bag that baby can safely squish and explore. Watch their eyes light up as they discover the squishy texture and moving colors. Perfect for tummy time and sensory development.,10-15 minutes,5 minutes,High,Clear ziplock bag; Hair gel; Food coloring; Duct tape; Soft mat,,1. Mix gel with food coloring; 2. Fill ziplock bag with colored gel; 3. Seal bag tightly with duct tape; 4. Place on soft mat; 5. Let baby squish and explore; 6. Watch for reactions and engagement,"Tactile responsiveness, Visual attention, Hand control, Sensory exploration","#SensoryBag, #TummyTime, #HandControl, #VisualTracking",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during gel bag squish play. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Soft mat,1. Clear ziplock bag [Product Link: TBD]; 2. Hair gel [Product Link: TBD]; 3. Food coloring [Product Link: TBD]; 4. Duct tape [Product Link: TBD],,65/100 (B)
play-creativity-infant-0-1-sensory-exploration-3,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,"Activities focusing on developing tactile, visual, and auditory awareness through safe, gentle exploration of different textures, sounds, and visual stimuli appropriate for 0-1 year olds.",3,Splash and Discover,Introduce baby to water properties and cause-and-effect learning,"Set up a safe water play area where baby can splash, pour, and discover water. Watch them learn about cause and effect as they see water move and hear splashing sounds. Great for motor skills and sensory development.",15-20 minutes,10 minutes,High,Shallow plastic tub; Warm water; Plastic cups; Floating toys; Towels,,1. Fill shallow tub with warm water; 2. Add floating toys; 3. Let baby splash and explore; 4. Show cause and effect; 5. Supervise closely; 6. Dry off when finished,"Cause and effect, Motor skills, Sensory exploration, Hand-eye coordination","#WaterPlay, #CauseAndEffect, #MotorSkills, #SensoryExploration",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during water play. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Warm water; 2. Plastic cups; 3. Floating toys; 4. Towels,1. Shallow plastic tub [Product Link: TBD],,65/100 (B)
play-creativity-infant-0-1-sensory-exploration-4,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,"Activities focusing on developing tactile, visual, and auditory awareness through safe, gentle exploration of different textures, sounds, and visual stimuli appropriate for 0-1 year olds.",4,Who's That Baby?,Develop self-awareness and visual tracking through mirror interaction,"Use a safe, unbreakable mirror to help baby discover themselves. Watch their curiosity grow as they see their reflection, make faces, and learn about self-awareness. Perfect for social-emotional development.",10-15 minutes,2 minutes,High,Unbreakable baby mirror; Soft mat; Colorful toys,Soft play mat,1. Place mirror on soft mat; 2. Position baby in front of mirror; 3. Make faces and talk to reflection; 4. Show toys in mirror; 5. Watch for recognition; 6. Encourage interaction,"Self-awareness, Visual tracking, Social interaction, Recognition","#MirrorPlay, #SelfAwareness, #VisualTracking, #SocialDevelopment",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during mirror play. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Unbreakable baby mirror; 2. Soft mat; 3. Colorful toys,,,80/100 (A)
play-creativity-infant-0-1-sensory-exploration-5,Play & Creativity,Infant (0-1),Beginner,Sensory,Sensory Exploration,"Activities focusing on developing tactile, visual, and auditory awareness through safe, gentle exploration of different textures, sounds, and visual stimuli appropriate for 0-1 year olds.",5,Crinkle and Explore,Stimulate auditory and tactile senses through crinkly paper play,"Let baby explore different types of crinkly paper to discover new sounds and textures. Watch their excitement as they crinkle, tear, and listen to the satisfying sounds. Great for auditory development and fine motor skills.",10-15 minutes,3 minutes,High,Tissue paper; Wrapping paper; Aluminum foil; Soft mat,,1. Place different papers on soft mat; 2. Let baby explore each type; 3. Show how to crinkle; 4. Listen to different sounds; 5. Watch for preferences; 6. Supervise closely,"Auditory development, Tactile exploration, Fine motor skills, Sound recognition","#CrinklePlay, #AuditoryDevelopment, #FineMotor, #SoundExploration",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during crinkle paper fun. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Soft mat,1. Tissue paper [Product Link: TBD]; 2. Wrapping paper [Product Link: TBD]; 3. Aluminum foil [Product Link: TBD],,65/100 (B)
play-creativity-infant-0-1-tummy-time-play-1,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,"Gentle tummy time activities that help develop neck strength, visual tracking, and early motor skills while providing safe, supervised play experiences for infants.",1,Gentle Tummy Time with Soft Toys,Encourage tummy time and visual tracking development,"Introduce baby to soft, colorful blocks for safe stacking and building. Watch their concentration grow as they learn to balance blocks and create simple towers. Perfect for developing spatial awareness and motor skills.",15-20 minutes,5 minutes,High,"Soft mat, colorful soft toys, gentle voice",Soft Soft play mat; Cushions,1. Place baby on tummy on soft mat; 2. Show colorful soft toys; 3. Move toys slowly for baby to track; 4. Encourage with gentle voice; 5. Keep sessions short (2-3 minutes),"Hand-eye coordination, Problem-solving, Spatial awareness, Motor skills","#BlockPlay, #SpatialAwareness, #ProblemSolving, #MotorSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during soft block stacking. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Soft mat,1. Soft foam blocks [Product Link: TBD]; 2. Colorful stacking rings [Product Link: TBD],,65/100 (B)
play-creativity-infant-0-1-tummy-time-play-2,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,"Gentle tummy time activities that help develop neck strength, visual tracking, and early motor skills while providing safe, supervised play experiences for infants.",2,Shake and Make Music,Develop rhythm awareness and cause-and-effect learning through musical play,"Create simple musical shakers for baby to explore rhythm and sound. Watch their delight as they shake, listen, and discover how their actions create music. Great for auditory development and motor coordination.",15-20 minutes,10 minutes,High,Empty plastic bottles; Rice; Beans; Colorful tape; Soft mat,Soft Soft play mat; Cushions,1. Fill bottles with different materials; 2. Seal tightly with tape; 3. Decorate with colorful tape; 4. Show how to shake; 5. Let baby explore different sounds; 6. Dance to the rhythm,"Rhythm awareness, Cause and effect, Auditory development, Motor coordination","#MusicalPlay, #RhythmAwareness, #CauseAndEffect, #AuditoryDevelopment",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during musical shakers. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Rice; 2. Beans; 3. Soft mat,1. Empty plastic bottles [Product Link: TBD]; 2. Colorful tape [Product Link: TBD],,65/100 (B)
play-creativity-infant-0-1-tummy-time-play-3,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,"Gentle tummy time activities that help develop neck strength, visual tracking, and early motor skills while providing safe, supervised play experiences for infants.",3,Touch and Learn,Develop tactile awareness and language skills through interactive books,"Read texture books with baby, encouraging them to touch and feel different materials. Watch their curiosity grow as they explore various textures while listening to your voice. Perfect for bonding and early literacy development.",10-15 minutes,2 minutes,High,Texture books; Soft pillows; Comfortable seating,Soft play mat; Cushions,1. Choose comfortable spot; 2. Open texture book; 3. Read aloud; 4. Encourage touching; 5. Describe textures; 6. Watch for reactions; 7. Continue reading,"Tactile awareness, Language development, Early literacy, Bonding","#TextureBooks, #EarlyLiteracy, #LanguageDevelopment, #Bonding",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during texture books. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Soft pillows; 2. Comfortable seating,1. Texture books [Product Link: TBD],,65/100 (B)
play-creativity-infant-0-1-tummy-time-play-4,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,"Gentle tummy time activities that help develop neck strength, visual tracking, and early motor skills while providing safe, supervised play experiences for infants.",4,Roll and Chase,Develop visual tracking and cause-and-effect understanding through ball play,Roll soft balls for baby to watch and eventually chase. Watch their eyes follow the moving ball and their excitement as they learn about movement and cause and effect. Great for visual development and motor skills.,15-20 minutes,5 minutes,High,Soft balls; Colorful scarves; Soft mat,Soft play mat; Cushions,1. Place baby on soft mat; 2. Roll ball slowly; 3. Watch eyes track movement; 4. Encourage reaching; 5. Show cause and effect; 6. Let baby explore,"Visual tracking, Cause and effect, Motor skills, Spatial awareness","#BallPlay, #VisualTracking, #CauseAndEffect, #MotorSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during ball rolling. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Soft balls; 2. Soft mat,1. Colorful scarves [Product Link: TBD],,65/100 (B)
play-creativity-infant-0-1-tummy-time-play-5,Play & Creativity,Infant (0-1),Beginner,Physical,Tummy Time Play,"Gentle tummy time activities that help develop neck strength, visual tracking, and early motor skills while providing safe, supervised play experiences for infants.",5,Hide and Seek Fun,Develop object permanence and social interaction through peek-a-boo play,Play classic peek-a-boo games to help baby understand object permanence and develop social skills. Watch their joy and surprise as they learn that things still exist even when hidden. Perfect for cognitive and social development.,10-15 minutes,2 minutes,High,Soft blanket; Colorful scarves; Soft toys,,1. Choose comfortable spot; 2. Hide behind blanket; 3. Say 'peek-a-boo'; 4. Show face; 5. Watch for reactions; 6. Repeat with variations; 7. Encourage participation,"Object permanence, Social interaction, Cognitive development, Emotional bonding","#PeekABoo, #ObjectPermanence, #SocialInteraction, #CognitiveDevelopment",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Supervise closely during peek-a-boo. Ensure baby is comfortable and safe. Follow baby's cues and stop if they show signs of distress. Keep sessions short and positive.,2025-09-27,,Tharun,2025-09-27 11:12:02,1. Soft blanket; 2. Soft toys,1. Colorful scarves [Product Link: TBD],,65/100 (B)
