Column Name,Purpose,Format,Pattern,Example,Max Words,Max Items,Max Steps,Max Skills,Max Hashtags,Max Words per Step,Options,Rules,Quality Standards
METADATA INFO,This sheet contains standards and rules for all columns in the Essential Growth Activities dataset,Reference document,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Created on 2025-09-27 13:22:57; Use this as reference for creating new activities; All standards are maximum limits only (no minimums); Quality standards must be followed for consistency,"Comprehensive, clear, actionable"
Activity ID,Unique identifier for each activity,kebab-case with descriptive elements,pillar-agegroup-category-topicnumber,play-creativity-infant-0-1-sensory-exploration-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Must be unique across all activities; Use lowercase letters and hyphens only; Include pillar, age group, category, and topic number; No spaces or special characters; Should be descriptive and searchable","Unique, descriptive, searchable"
Pillar,Main category of the activity,Title Case,N/A,Play & Creativity,N/A,N/A,N/A,N/A,N/A,N/A,"Play & Creativity, Cognitive Skills",Must be one of the predefined options; Use proper title case; No abbreviations or variations; Consistent across all activities,"Consistent, predefined options only"
Age Group,Target age range for the activity,Age Range (Description),N/A,Infant (0-1),N/A,N/A,N/A,N/A,N/A,N/A,"Infant (0-1), Toddler (1-3), Preschooler (3-5), Child (6-8), Pre-Teen (9-12), Teen (13-18)",Must be one of the predefined options; Include both age range and description; Use consistent formatting; No variations or abbreviations,"Consistent, predefined options only"
Difficulty Level,How challenging the activity is,Single word,N/A,Beginner,N/A,N/A,N/A,N/A,N/A,N/A,"Beginner, Intermediate, Advanced","Must be one of the predefined options; Based on age group: Infant/Toddler = Beginner, Preschooler/Child = Intermediate, Pre-Teen/Teen = Advanced; No variations or descriptions; Consistent across similar age groups","Age-appropriate, consistent"
Activity Type,Category of the activity,Single word,N/A,Sensory,N/A,N/A,N/A,N/A,N/A,N/A,"Sensory, Physical, Cognitive, Creative, Social, Emotional",Must be one of the predefined options; Based on the main focus of the activity; No variations or descriptions; Consistent with activity content,"Consistent, activity-focused"
Category,Specific subcategory within the pillar,Title Case,N/A,Sensory Exploration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Must be descriptive and specific; Use proper title case; No abbreviations; Should clearly indicate the activity focus; Consistent within each pillar,"Descriptive, specific, consistent"
Category Description,Brief explanation of what this category covers,Sentence or phrase,N/A,Stimulate tactile senses through safe material exploration,15,N/A,N/A,N/A,N/A,N/A,N/A,"Must be clear and descriptive; Explain what skills or concepts are developed; Use simple, parent-friendly language; No jargon or technical terms; Should match the category name; Maximum 15 words","Clear, descriptive, parent-friendly"
Topic Number,Sequential number within the category,Integer,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Must be a positive integer; Sequential within each category; Start from 1 for each category; No gaps in numbering; Consistent across all activities,"Sequential, consistent, no gaps"
Topic,Name of the specific activity,Title Case,N/A,Texture Tray Adventure,6,N/A,N/A,N/A,N/A,N/A,N/A,Must be descriptive and engaging; Use proper title case; No abbreviations or acronyms; Should clearly indicate what the activity is; Avoid generic terms like 'Activity' or 'Game'; Make it appealing to parents and children; Maximum 6 words,"Descriptive, engaging, appealing"
Activity Name,Full descriptive name of the activity,Title Case,N/A,Texture Tray Adventure,8,N/A,N/A,N/A,N/A,N/A,N/A,Must be more descriptive than Topic; Use proper title case; Should include the main action or focus; No abbreviations or acronyms; Make it clear what the child will do; Should be engaging and appealing; Maximum 8 words,"Descriptive, clear, engaging"
Objective,What the activity aims to achieve,Sentence,N/A,Stimulate tactile senses through safe material exploration,15,N/A,N/A,N/A,N/A,N/A,N/A,"Must be clear and specific; Focus on what the child will learn or develop; Use action verbs (develop, improve, enhance, build); No jargon or technical terms; Should be measurable or observable; Parent-friendly language; Maximum 15 words","Clear, specific, measurable"
Explanation,Brief description of what the activity involves,Sentence or short paragraph,N/A,"Provide a tray with different safe materials (e.g., silk, sponge). Baby explores textures with hands.",25,N/A,N/A,N/A,N/A,N/A,N/A,"Must be clear and engaging; Describe what the child will do; Use simple, parent-friendly language; No jargon or technical terms; Should make parents want to try it; Include the main materials or actions; Be specific and actionable; Maximum 25 words","Clear, engaging, actionable"
Age,Specific age range for this activity,Age range,N/A,3-12 months,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Must be within the Age Group range; Use format like '3-6 months' or '2-3 years'; Be more specific than Age Group; Consider developmental milestones; No overlaps between activities; Should be realistic and achievable,"Specific, realistic, achievable"
Estimated Time,How long the activity typically takes,Time range,N/A,10-15 min,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Use format like '10-15 min' or '5-10 min'; Be realistic for the age group; Consider attention spans; Include setup and cleanup time; No single numbers, always ranges; Should be achievable for busy parents","Realistic, achievable, age-appropriate"
Setup Time,How long it takes to prepare the activity,Time range,N/A,5-10 min,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Use format like '5-10 min' or '2-5 min'; Be realistic for busy parents; Consider material gathering and preparation; No single numbers, always ranges; Should be quick and easy; Focus on parent convenience","Quick, easy, parent-friendly"
Supervision Level,How much adult supervision is needed,Single word,N/A,High,N/A,N/A,N/A,N/A,N/A,N/A,"High, Medium, Low",Must be one of the predefined options; Based on safety requirements and age; High = constant supervision needed; Medium = periodic check-ins needed; Low = minimal supervision needed; Consider safety and developmental needs,"Safety-focused, age-appropriate"
Materials,What parents need to gather for the activity,Semicolon-separated list,N/A,Silk fabric; Sponge; Cotton balls; Tray; Shallow container,N/A,6,N/A,N/A,N/A,N/A,N/A,Must be specific and clear; Use semicolons to separate items; No vague terms like 'various' or 'different'; Include quantities when helpful; Focus on items parents can easily find; No internal references or kit items; Should be realistic and accessible; Maximum 6 items,"Specific, clear, accessible"
Steps,"Clear, actionable instructions for parents",Semicolon-separated list,N/A,Fill a shallow tray with different textured materials; Place baby on their tummy near the tray; Let baby reach out and touch the textures; Describe what they're feeling; Watch their reactions; Clean up when done,N/A,N/A,8,N/A,N/A,20,N/A,"Must be specific to the activity; Use semicolons to separate steps; Start with action verbs; Be clear and actionable; No generic instructions; Include safety considerations; Use parent-friendly language; Should be easy to follow; Include what to do and what to say; End with cleanup instructions; Maximum 8 steps, 20 words each","Specific, actionable, parent-friendly"
Skills,What skills the child will develop,Comma-separated list,N/A,"Tactile exploration, Sensory awareness, Hand-eye coordination",N/A,N/A,N/A,6,N/A,N/A,N/A,Must be specific and measurable; Use commas to separate skills; Focus on developmental outcomes; No vague terms like 'learning' or 'development'; Should be observable behaviors; Use parent-friendly language; Include both physical and cognitive skills; Should match the activity content; Maximum 6 skills,"Specific, measurable, observable"
Hashtags,Keywords for searching and categorization,Comma-separated list with #,N/A,"#Tactile, #SensoryPlay, #InfantActivities",N/A,N/A,N/A,N/A,5,N/A,N/A,"Must start with # symbol; Use commas to separate hashtags; Be relevant to the activity; Include age group, activity type, and skills; No spaces in hashtags; Should be searchable and discoverable; Use consistent terminology; Maximum 5 hashtags","Relevant, searchable, consistent"
